NomeDocente	ID_LATTES_MERGED	Vinculo	UnidadeExercicio	OrgaoExercicio	Curso	Habilitacao	Turno	Modalidade	ProgramaPG	DESC_NIVEL
ANGELA BEATRIZ BUSATO SCHEFFER	0726302720276132	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO (PROFISSIONAL)	Profissional
ANTONIO CARLOS GASTAUD MACADA	3043897632138906	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO (PROFISSIONAL)	Profissional
ANTONIO DOMINGOS PADULA	3203712465096936	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO (PROFISSIONAL)	Profissional
ARISTON AZEVÊDO	7226534838995252	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO (PROFISSIONAL)	Profissional
AURORA CARNEIRO ZEN	4675648528793125	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO (PROFISSIONAL)	Profissional
 	1123038118413853	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO (PROFISSIONAL)	Profissional
CESAR AUGUSTO TEJERA DE RE	7193472884154878	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO (PROFISSIONAL)	Profissional
CRISTIANE PIZZUTTI DOS SANTOS	9403441722826732	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO (PROFISSIONAL)	Profissional
DANIELA CALLEGARO DE MENEZES	4543535405121206	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO (PROFISSIONAL)	Profissional
DENISE LINDSTROM BANDEIRA	1688540976803513	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO (PROFISSIONAL)	Profissional
ELAINE DI DIEGO ANTUNES	9333404937259230	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO (PROFISSIONAL)	Profissional
FABIO BITTENCOURT MEIRA	8190242701584269	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO (PROFISSIONAL)	Profissional
FERNANDO BINS LUCE	7597928710439425	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO (PROFISSIONAL)	Profissional
FERNANDO DIAS LOPES	4630522734036641	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO (PROFISSIONAL)	Profissional
GUILHERME KIRCH	4483880021177489	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO (PROFISSIONAL)	Profissional
GUILHERME RIBEIRO DE MACEDO	3424847554023065	Colaborador	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO (PROFISSIONAL)	Profissional
JOAO LUIZ BECKER	4851172736404835	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO (PROFISSIONAL)	Profissional
LUIS FELIPE MACHADO DO NASCIMENTO	5801501389356871	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO (PROFISSIONAL)	Profissional
LUIZ ANTONIO SLONGO	1902788698931900	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO (PROFISSIONAL)	Profissional
MARCELO SCHERER PERLIN	3262699324398819	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO (PROFISSIONAL)	Profissional
MARCIA DUTRA DE BARCELLOS	5277492107669504	Permanente	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	Não preenchido	ADMINISTRAÇÃO (PROFISSIONAL)	Profissional
